"KensaResult(OK,/NG)",KensaTime,KensaSagyoushaName,DetectedPitch,TotalLength,KensaYarinaoshi
"(1, 0)",20240325_152116,,"[17.17, 41.3, 54.24, 93.3, 94.05, 22.14]",322.2,
"(2, 0)",20240325_152121,TT,"[17.17, 41.3, 54.24, 93.3, 94.05, 22.14]",322.2,False
"(1, 0)",20240325_152417,,"[16.92, 41.3, 54.49, 93.55, 94.05, 22.39]",322.71,
"(1, 1)",20240325_152426,,"[16.92, 41.3, 54.49, 93.55, 71.66, 44.78]",322.7,False
"(1, 2)",20240325_152440,,"[16.92, 41.55, 53.99, 93.8, 79.88, 14.81, 21.89]",322.85,False
"(2, 2)",20240325_152449,,"[16.92, 41.55, 53.99, 93.8, 94.55, 21.65]",322.45,False
"(0, 1)",20240325_152847,,"[16.92, 41.55, 53.99, 93.8, 94.55, 61.03]",361.83,
"(0, 2)",20240325_152850,,"[7.96, 41.05, 54.24, 93.55, 94.8, 61.03]",352.63,False
"(1, 2)",20240325_152852,,"[16.92, 41.3, 53.99, 93.8, 94.55, 21.65]",322.2,False
"(1, 3)",20240325_152854,,"[16.92, 41.55, 53.99, 93.55, 94.8, 61.03]",361.83,False
"(1, 4)",20240325_152856,,"[17.17, 41.05, 54.24, 93.8, 94.55, 61.03]",361.83,False
"(2, 4)",20240325_152900,,"[16.92, 41.3, 54.24, 93.55, 94.55, 21.65]",322.2,False
"(3, 4)",20240325_152903,,"[16.67, 41.05, 54.24, 93.8, 94.55, 21.89]",322.2,False
"(4, 4)",20240325_152905,,"[16.92, 41.05, 54.49, 93.55, 94.79, 21.65]",322.45,False
"(5, 4)",20240325_152916,,"[16.92, 41.3, 54.49, 93.55, 94.55, 21.89]",322.7,False
"(5, 5)",20240325_152926,,"[16.92, 41.3, 73.15, 74.64, 94.55, 21.89]",322.45,False
"(5, 6)",20240325_152938,,"[16.92, 41.05, 32.34, 115.95, 94.3, 22.14]",322.7,False
"(0, 1)",20240325_153017,,"[16.92, 41.3, 32.1, 115.95, 94.3, 22.14]",322.7,
"(0, 2)",20240325_153019,,"[17.17, 41.05, 32.1, 115.95, 94.54, 21.89]",322.7,False
"(0, 3)",20240325_153032,,"[16.92, 41.05, 32.34, 115.69, 94.3, 22.14]",322.45,False
"(1, 3)",20240325_153040,,"[16.92, 41.3, 54.24, 93.8, 94.3, 22.14]",322.7,False
"(1, 4)",20240325_153053,,"[33.09, 25.38, 54.24, 93.8, 94.3, 22.14]",322.94,False
"(2, 4)",20240325_153103,,"[15.67, 42.79, 54.24, 93.55, 94.55, 21.89]",322.7,False
"(2, 5)",20240325_153113,,"[32.84, 25.63, 54.24, 94.05, 94.3, 22.14]",323.2,False
"(2, 6)",20240325_153127,,"[15.43, 43.04, 54.49, 93.8, 94.3, 21.89]",322.95,False
"(2, 7)",20240325_153129,,"[15.18, 43.04, 54.49, 93.8, 94.3, 22.14]",322.95,False
"(3, 7)",20240325_153130,,"[15.43, 42.79, 54.49, 93.8, 94.3, 21.89]",322.7,False
"(3, 8)",20240325_153134,,"[15.43, 43.04, 53.99, 93.8, 94.3, 22.14]",322.7,False
"(3, 9)",20240325_153153,,"[15.67, 97.03, 16.93, 77.13, 94.3, 22.14]",323.21,False
"(4, 9)",20240325_153201,,"[15.92, 40.81, 55.73, 94.3, 94.3, 22.14]",323.2,False
"(5, 9)",20240325_153210,,"[16.17, 40.81, 55.48, 94.05, 94.3, 22.14]",322.95,False
"(5, 10)",20240325_153222,,"[31.85, 25.88, 54.74, 94.05, 94.3, 22.14]",322.95,False
"(0, 1)",20240325_153420,,"[16.67, 41.3, 54.49, 93.8, 94.3, 85.64]",386.2,False
"(0, 2)",20240325_153427,,"[16.67, 41.3, 54.49, 93.8, 97.53, 77.44, 71.0]",452.22,False
"(1, 2)",20240325_153429,,"[16.42, 41.3, 54.49, 93.8, 94.3, 22.14]",322.45,False
"(2, 2)",20240325_153432,,"[16.42, 41.55, 54.24, 93.81, 94.54, 22.14]",322.7,False
"(2, 3)",20240325_153443,,"[16.42, 41.55, 32.34, 21.89, 94.05, 94.3, 22.14]",322.7,False
"(2, 4)",20240325_153446,,"[16.42, 41.55, 32.34, 21.89, 94.05, 94.3, 22.14]",322.7,False
"(0, 1)",20240325_153612,,"[57.72, 54.74, 186.85, 21.65]",320.96,False
"(0, 2)",20240325_153618,,"[57.72, 54.74, 93.8, 93.3, 21.65]",321.21,False
"(1, 2)",20240325_153635,,"[16.67, 41.3, 54.74, 94.05, 93.3, 21.65]",321.71,False
"(1, 0)",20240326_152512,,"[16.67, 40.8, 54.49, 93.8, 93.55, 21.65]",320.96,
"(1, 1)",20240326_152519,,"[22.14, 92.55, 92.8, 54.49, 41.55, 17.17]",320.71,False
"(2, 1)",20240326_152525,,"[16.42, 41.05, 54.74, 93.55, 93.3, 21.65]",320.71,False
"(2, 2)",20240326_152549,,"[16.67, 41.3, 72.4, 75.64, 94.05, 22.14]",322.21,False
"(2, 3)",20240326_152718,,"[16.67, 41.3, 72.4, 75.64, 94.05, 22.14]",322.21,False
"(2, 4)",20240326_152725,,"[16.67, 41.3, 72.4, 75.64, 94.05, 22.14]",322.21,False
"(2, 5)",20240326_152731,,"[16.42, 41.55, 73.64, 74.39, 94.3, 21.89]",322.2,False
"(2, 6)",20240326_152733,,"[16.42, 41.55, 73.4, 74.64, 94.05, 22.14]",322.2,False
